text,
私もつくづく思ってた。デマを否定する側は正しい情報を示すことが目的だけど、デマを流す側は自分の都合の良いことを拡散だから中身はどうでもいいわけで労力はいらん訳ですよね。むしろ難しい事よりもインパクトある事のほうが飛び付きやすいわけだし。 https://t.co/Xy6X6Zzy4D,
@fujitagiwaku @ishikawa_yumi デマご苦労。お前何も見てないだろ…。もへもへとは直接話して「返事」もらってんの。見てない、知らないはありえないわけ。それに対して否定しないなら賛同と一緒って言ったの。気づいてもいないリプとは違うんだよ。切り取りスクショしか見てないからそーなるんだよ。,
しーえぬえぬ内部告発としーあいえー長官逮捕えらいこっちゃになっとるやん。司法長官が証拠なしと言った！というフェイクニュースの直後になんでそんなデマ流すんや！って本人否定したり大混乱すげぇや,
@lzdhtecdZMhIa2 はぁ？？？何言い訳してんだよお前？？ほんとだせーな。肯定してないならなんで俺はデマだって否定してるツイートにそんなリプしてくんだよ？？,
@tokiomori1 性的被害を受けた女性が現存しとる事自体はデマやない。トランス女性が女性だと主張する事自体は、俺は否定しない。せやからって、男体未オペのトランス女性が女湯へ入る事で女体女性が恐怖を感じる事について、「その人の感じ方の違い」で済ませていいのか？って俺は問いを発しとるんやが？,
素晴らしく明快。執筆者は「獣医師」だそうだが、感染実と検査の実態に関しての考察と証明は、その職業は無関係。「検査否定派」は獣医師がーと言うだろうが。＜新型コロナに関するデマ、不適切な主張についてまとめました。 -臨床獣医師の立場から https://t.co/xT52GvJem0 @tatsuharu2020より ＞,
これは現地時間の昨夜CNNでもきちんと放送していた事で、百田某のような人がそれを否定するデマを拡散する事でどれだけ多くの人がそのデマを信じるか考えると彼の罪は大きい。トランプ応援団がニッポンに多いのも頷けるし、国にとって非常に危険だ。 https://t.co/PPxhUyi9mP,
@nhk_news イタズラに引っかかりデマを拡散しかねないよう注意する以外に、自分の好きな事や信じたい事なら事実、嫌いな事や信じたくない事の否定も事実、それらの逆はフェイク、と言っている人がSNSには結構いるという話も必要。,
いわゆる「秋信者」によるデマですね。ほんと、宮内庁はもっと早くに毅然と否定すべきでした。 https://t.co/gEPm5bNeSL,
東京新聞: トランプ氏の主張を腹心が否定…司法長官「大規模な不正の証拠は見つからなかった」 https://t.co/GO1HAtPDIF 東京新聞がデマだったって言っているってことはデマじゃないってことだよね。,
ファンとしてしっかり否定しておきたいんだけど、初期のましろんの配信でドラひまハウスを爆破したのは故意じゃないからね。なんか結構ふざけて破壊したみたいなデマが回っているけど、沸き潰しの甘かった所にクリーパーが出てきただけ。なんならましろんは率先して修復作業していたからな。,
【話題の画像】みんな！１８才未満がLINEが使えなくなるっていうのはデマたよ！公式アカウントが否定してる！ID検索が使えなくなるだけだよ！ https://t.co/ijB8ZZfA45,
これらの話しの殆んどが、具体的な事例を上げて伝えている。だが、頭からデマだと否定する輩たちからは、それに反論するだけの根拠は無いに等しい。この段階では、すべてがただのデマだとは信じ難い！ https://t.co/1O5VxCMSD7,
【周庭氏関連のデマ】#FreeAgnes ❌香港デモ隊を煽動❌江沢民派の共産党スパイ❌中国語ブログで反安倍❌自衛隊を否定❌慰安婦像を立てた❌尖閣侵略◇他・逮捕時手錠無、48時間保釈は香港法律・左翼との写真あげる人いるけど【自民党長島昭久氏】にも会談 https://t.co/2P00xgt6BA,
【山本弘 『BIS ビブリオバトル部』さんのTw】関東大震災における朝鮮人虐殺については、多くの証言があり、公式の記録があり、一貫している。疑う理由などない。それに対し否定論の根拠は、震災直後のデマ記事だけ。⇒（続く）,
https://t.co/8m9k6M3Mzo司法長官が否定してるんだからもう無理だろ。裁判もしないし完全に時間稼ぎだな。デマばかり流して勝手に盛り上がってる馬鹿共は諦めろよ。バイデンのギプスにGPSとか書き込んでいる奴も居たけど妄想も大概にしろ。統合失調感情障害か？ｗ,
@bosai_311 化学的根拠がなくても、ハンネからしてあなたが完全否定するのはどうでしょう？　　嘘から出たまこと。ということわざもある通り、デマだったつもりが本当に起きるかもしれないんですよ。,
@mooileuklekker デマ否定のツイート自体に別のノイズが入ってる(リンク以外)というのがここでの問題なんですよね。なんだかなぁと。,
デマ注意！｢男へのクリスマスプレゼントはネクタイがおすすめ｣というデマが流れていますが絶対信用しないでください！男が本当に望んでいるのは滲み出す混濁の紋章 不遜なる狂気の器 湧き上がり・否定し・痺れ・瞬き・眠りを妨げる爬行する鉄の王女 絶えず自壊する泥の人形,
@HoTTA_K8 ほら、各種事故報告書や司法判決で否定されたデマを撒いていますねなぜ水素が発生するのか、水素爆発がなぜ起こるのかを知らないのですか？電源喪失で燃料棒の露出と加熱が起きるのと、換気や元素量の相対的抑制による爆発限界超過の防止が最初からなされていないためです事故対応の瑕疵ではない,
すでに否定されたデマが特盛りだけど、プレジデント大丈夫？大統領選の不正投票疑惑｣いまだ真相が報道されない本当の理由 集計システムと民主党を結ぶ点と線 | PRESIDENT Onlin https://t.co/tU0H8m5ZmC,
@HoTTA_K8 水素爆発を起こさないよう換気などの対策をとるのは長年の原発行政による初歩的安全策ですまた第一次安倍内閣で電源喪失リスクを無視した問題もありますさらに、あなたの述べたデマは、水素爆発の原因が菅直人内閣の事故対応にあるとするものですが、これは各種事故報告や司法で否定されたデマです,
